,,"Listado de productos Bioequivalentes, actualizado al 21 de Agosto de 2015",,,,,
"643","LAMOTRIGINA","TRADOX COMPRIMIDOS 100 mg","F‐12191","LABORATORIOS ANDRÓMACO S.A.","RESOLUCIÓN N° 1094","08‐04‐2015","Antiepiléptico ‐ Estabilizador del estado de ánimo"
"644","LEVETIRACETAM","CEUMID COMPRIMIDOS RECUBIERTOS 1000 mg","F‐14833","PHARMA INVESTI DE CHILE S.A.","RESOLUCIÓN N° 1105","08‐04‐2015","Antiepiléptico ‐ Estabilizador del estado de ánimo"
"645","TERBINAFINA","DERMOXYL COMPRIMIDOS 250 mg","F‐2434","LABORATORIO CHILE S.A.","RESOLUCIÓN RW N° 5651","08‐04‐2015","Antimicotico"
"646","QUETIAPINA","NORSIC COMPRIMIDOS RECUBIERTOS 300 mg
(QUETIAPINA)","F‐21803","LABORATORIOS ANDRÓMACO S.A.","RESOLUCIÓN RW N° 5940","13‐04‐2015","Trastornos mentales"
"647","PAROXETINA","PAMAX COMPRIMIDOS RECUBIERTOS 20 mg","F‐9013","INSTITUTO SANITAS S.A.","RESOLUCIÓN N° 1229","16‐04‐2015","Antidepresivo"
"648","ETINILESTRADIOL / DROSPIRENONA","LADYGEX‐20 COMPRIMIDOS","F‐20142","MINTLAB  CO. S.A.","RESOLUCIÓN N° 1230","16‐04‐2015","Anticonceptivo"
"649","ZOLPIDEM","SOMNO COMPRIMIDOS RECUBIERTOS 10 mg","F‐9806","EUROLAB LTDA.","RESOLUCIÓN RW N° 6200","16‐04‐2015","Inductor del sueño / Sedante"
"650","ZOLPIDEM","SOMNO COMPRIMIDOS RECUBIERTOS 5 mg","F‐9807","EUROLAB LTDA.","RESOLUCIÓN RW N° 6201","16‐04‐2015","Inductor del sueño / Sedante"
"651","DULOXETINA","DULOXETINA CÁPSULAS CON GRÁNULOS CON RECUBRIMIENTO ENTÉRICO 30 mg","F‐20783","ASCEND LABORATORIES SpA","RESOLUCIÓN RW N° 6292","17‐04‐2015","Antidepresivo"
"652","CETIRIZINA","FINDALER COMPRIMIDOS RECUBIERTOS 10 mg (Cetirizina)","F‐21819","MEDIPHARM LTDA.","RESOLUCIÓN RW N° 6466","20‐04‐2015","Antialérgico"
"653","PREGABALINA","NEURUM CÁPSULAS 150 mg","F‐15733","LABORATORIOS SAVAL S.A.","RESOLUCIÓN N° 1274","21‐04‐2015","Antiepiléptico ‐ Dolores neurálgicos"
"654","PREGABALINA","NEURUM CÁPSULAS 75 mg","F‐15732","LABORATORIOS SAVAL S.A.","RESOLUCIÓN N° 1275","21‐04‐2015","Antiepiléptico ‐ Dolores neurálgicos"
"655","PREGABALINA","NEURUM CAPSULAS 50 mg","F‐18952","LABORATORIOS SAVAL S.A.","RESOLUCIÓN N° 1276","21‐04‐2015","Antiepiléptico ‐ Dolores neurálgicos"
"656","TRIMEBUTINA","TRIMEBUTINA MALEATO CÁPSULAS BLANDAS 200 mg","F‐21821","LABORATORIOS EUROMED CHILE S.A.","RESOLUCIÓN RW N° 6528","21‐04‐2015","Antiespasmódico"
"657","PAROXETINA","POSIVYL COMPRIMIDOS RECUBIERTOS 20 mg","F‐8481","LABORATORIO CHILE S.A.","RESOLUCIÓN RW N° 6664","23‐04‐2015","Antidepresivo"
"658","PAROXETINA","PAROXETINA COMPRIMIDOS RECUBIERTOS 20 mg","F‐13726","LABORATORIO CHILE S.A.","RESOLUCIÓN RW N° 6665","23‐04‐2015","Antidepresivo"
"659","ETINILESTRADIOL / LEVONORGESTREL","MINEVA E 150/30 comprimidos recubiertos","F‐21831","MINTLAB Co. S.A.","RESOLUCIÓN RW N° 6732","23‐04‐2015","Anticonceptivo"
"660","VALSARTÁN","ALSARKARE COMPRIMIDOS RECUBIERTOS 160 mg","F‐19191","ETEX FARMACÉUTICA LTDA.","RESOLUCIÓN RW N° 6973","28‐04‐2015","Hipertensión arterial"
"661","BISOPROLOL","TENBILOL COMPRIMIDOS RECUBIERTOS 10 mg
(BISOPROLOL FUMARATO)","F‐21789","SYNTHON CHILE LTDA.","RESOLUCIÓN RW N° 6990","28‐04‐2015","Hipertensión arterial ‐ insuficiencia cardíaca"
"662","IBUPROFENO","IBUPROFENO COMPRIMIDOS RECUBIERTOS 400 mg","F‐7636","OPKO CHILE S.A.","RESOLUCIÓN N° 1403","30‐04‐2015","Analgésico / Antiinflamatorio"
"663","IBUPROFENO","IBUPROFENO COMPRIMIDOS 400 mg","F‐18139","LABORATORIO CHILE S.A.","RESOLUCIÓN RW N° 7140","30‐04‐2015","Analgésico / Antiinflamatorio"
"664","BISOPROLOL","TENBILOL COMPRIMIDOS RECUBIERTOS 5 mg ( BISOPROLOL FUMARATO)","F‐21832","SYNTHON CHILE LTDA.","RESOLUCIÓN RW N° 7217","04‐05‐2015","Hipertensión arterial ‐ insuficiencia cardíaca"
"665","IBUPROFENO","IBUCON COMPRIMIDOS RECUBIERTOS 600 mg","F‐16989","LABORATORIOS EUROMED CHILE S.A.","RESOLUCIÓN RW N° 7245","05‐05‐2015","Analgésico / Antiinflamatorio"
"666","ISOTRETINOÍNA","ORALNE CÁPSULAS BLANDAS 10 mg","F‐19577","DEUTSCHE PHARMA S.A.","RESOLUCIÓN N° 1480","11‐05‐2015","Tratamiento de Acné"
"667","IBUPROFENO","IBUPROFENO COMPRIMIDOS RECUBIERTOS 600 mg","F‐18182","LABORATORIOS  EUROMED CHILE S.A.","RESOLUCIÓN RW N° 7759","15‐05‐2015","Analgésico / Antiinflamatorio"
"668","VALSARTÁN","ALSARKARE COMPRIMIDOS RECUBIERTOS 80 mg","F‐19190","ETEX FARMACÉUTICA LTDA.","RESOLUCIÓN RW N° 7760","15‐05‐2015","Hipertensión arterial"
"669","SILDENAFIL","DISILDEN  COMPRIMIDOS RECUBIERTOS 100 mg","F‐17848","INTERPHARMA S.A.","RESOLUCIÓN N° 1631","19‐05‐2015","Tratamiento de la Disfunción Eréctil"
"670","ESCITALOPRAM","ESCITALOPRAM COMPRIMIDOS RECUBIERTOS 10 mg","F‐17605","MINTLAB  CO. S.A.","RESOLUCIÓN N° 1632","19‐05‐2015","Antidepresivo"
"671","AZITROMICINA","AZITROMICINA COMPRIMIDOS RECUBIERTOS 500 mg","F‐21866","ASCEND LABORATORIES SpA","RESOLUCIÓN RW N° 7957","19‐05‐2015","Antibiótico"
"672","SILDENAFIL","SILDENAFILO COMPRIMIDOS RECUBIERTOS 50 mg","F‐21867","OPKO CHILE S.A.","RESOLUCIÓN RW N° 8019","20‐05‐2015","Tratamiento de la Disfunción Eréctil"
"673","QUETIAPINA","QUETIAPINA COMPRIMIDOS RECUBIERTOS 25 mg","F‐21868","ASCEND LABORATORIES S.p.A.","RESOLUCIÓN RW N° 8086","22‐05‐2015","Trastornos mentales"
"674","QUETIAPINA","QUETIAPINA COMPRIMIDOS RECUBIERTOS 100 mg","F‐21869","ASCEND LABORATORIES S.p.A.","RESOLUCIÓN RW N° 8091","22‐05‐2015","Trastornos mentales"
"675","DOMPERIDONA","DOMPERIDONA COMPRIMIDOS RECUBIERTOS 10 mg","F‐18856","OPKO CHILE S.A.","RESOLUCIÓN N° 1699","25‐05‐2015","Antiemético"
"676","LORATADINA","LORATADINA COMPRIMIDOS 10 mg","F‐16767","OPKO CHILE S.A.","RESOLUCIÓN N° 1700","25‐05‐2015","Antialérgico"
"677","PARACETAMOL","IMITIMOL COMPRIMIDOS 1 g","F‐21854","PHARMA INVESTI DE CHILE S.A.","RESOLUCIÓN RW N° 8290","26‐05‐2015","Analgésico / Antipirético"
"678","ISOTRETINOÍNA","ISDIBEN 10 CÁPSULAS BLANDAS 10 mg","F‐15491","ISDIN CHILE LTDA.","RESOLUCIÓN  RW N° 8552","29‐05‐2015","Tratamiento de Acné"
"679","ENALAPRIL","ENALAPRIL MALEATO COMPRIMIDOS 10 mg","F‐18847","OPKO CHILE S.A.","RESOLUCIÓN N° 1625","29‐05‐2015","Hipertensión arterial ‐ insuficiencia cardíaca"
"680","SERTRALINA","EMERGEN COMPRIMIDOS 100 mg","F‐13297","LABORATORIO CHILE S.A.","RESOLUCIÓN RW N° 8553","29‐05‐2015","Antidepresivo"
"681","SERTRALINA","SERTRALINA COMPRIMIDOS 100 mg","F‐18767","LABORATORIO CHILE S.A.","RESOLUCIÓN RW N° 8554","29‐05‐2015","Antidepresivo"
"682","MIRTAZAPINA","DIVARIL COMPRIMIDOS RECUBIERTOS 30 mg","F‐9774","TECNOFARMA S.A.","RESOLUCIÓN N° 1794","02‐06‐2015","Antidepresivo"
"683","CLOZAPINA","LODUX COMPRIMIDOS 25 mg","F‐21886","SYNTHON  CHILE LTDA.","RESOLUCIÓN RW N° 8981","03‐06‐2015","Trastornos mentales"
"684","CLOZAPINA","LODUX COMPRIMIDOS 100 mg","F‐21887","SYNTHON  CHILE LTDA.","RESOLUCIÓN RW N° 8982","03‐06‐2015","Trastornos mentales"
"685","IBUPROFENO","IBUPROFENO COMPRIMIDOS RECUBIERTOS 400 mg","F‐19511","MINTLAB  CO. S.A.","RESOLUCIÓN N° 1857","08‐06‐2015","Analgésico / Antiinflamatorio"
"686","ATOMOXETINA","DEATEN COMPRIMIDOS 80 mg","F‐19291","LABORATORIOS ANDRÓMACO S.A.","RESOLUCIÓN N° 1858","08‐06‐2015","Antidepresivo"
"687","METOTREXATO","METOTREXATO COMPRIMIDOS 2,5 mg","F‐21881","MINTLAB  CO. S.A.","RESOLUCIÓN RW N° 9269","09‐06‐2015","Cáncer / Enfermedades autoinmune"
"688","ATORVASTATINA","LIPOTROPIC COMPRIMIDOS RECUBIERTOS 40 mg","F‐12937","LABORATORIOS LAFI LTDA.","RESOLUCIÓN N° 1896","10‐06‐2015","Disminución del colesterol"
"689","PREGABALINA","PREGOBIN CÁPSULAS 50 mg","F‐21902","LABORATORIOS RECALCINE S.A.","RESOLUCIÓN RW N° 9359","10‐06‐2015","Antiepiléptico ‐ Dolores neurálgicos"
"690","PREGABALINA","PREGOBIN CÁPSULAS 25 mg","F‐21903","LABORATORIOS RECALCINE S.A.","RESOLUCIÓN RW N° 9383","10‐06‐2015","Antiepiléptico ‐ Dolores neurálgicos"
"691","IBUPROFENO","IBUPROFENO COMPRIMIDOS RECUBIERTOS 600 mg","F‐7638","OPKO CHILE S.A.","RESOLUCIÓN RW N° 9431","11‐06‐2015","Analgésico / Antiinflamatorio"
"692","ISOTRETINOÍNA","ISOCIP CÁPSULAS 30 mg","F‐21906","LABORATORIOS ANDRÓMACO S.A.","RESOLUCIÓN RW N° 9826","16‐06‐2015","Tratamiento de Acné"
"693","ISOTRETINOÍNA","ISOCIP CÁPSULAS 10 mg","F‐21905","LABORATORIOS ANDRÓMACO S.A.","RESOLUCIÓN RW N° 9827","16‐06‐2015","Tratamiento de Acné"
"694","AMOXICILINA","AMOXICILINA COMPRIMIDOS RECUBIERTOS 875 mg","F‐21138","LABORATORIOS  EUROMED CHILE S.A.","RESOLUCIÓN N° 2030","18‐06‐2015","Antibiótico"
"695","CARVEDILOL","BLOCAR COMPRIMIDOS 12,5 mg","F‐12089","LABORATORIO BAGÓ DE CHILE S.A.","RESOLUCIÓN RW N° 10023","18‐06‐2015","Hipertensión arterial ‐ insuficiencia cardíaca"
"696","IBUPROFENO","IBUPROFENO COMPRIMIDOS RECUBIERTOS 600 mg","F‐18140","LABORATORIO CHILE S.A.","RESOLUCIÓN RW N° 10298","23‐06‐2015","Analgésico / Antiinflamatorio"
"697","LINEZOLIDA","LINEZOLIDA COMPRIMIDOS RECUBIERTOS 600 mg","F‐21354","NOVARTIS CHILE S.A.","RESOLUCIÓN N° 2099","24‐06‐2015","Antibiótico"
"698","SEVELAMER","BRATESSE COMPRIMIDOS RECUBIERTOS 800 mg","F‐21490","SYNTHON  CHILE LTDA.","RESOLUCIÓN N° 2102","24‐06‐2015","Tratamiento en Insuficiencia Renal"
"699","METFORMINA CLORHIDRATO","METFORMINA COMPRIMIDOS RECUBIERTOS 850 mg","F‐15237","LABORATORIOS ANDRÓMACO S.A.","RESOLUCIÓN N° 2103","24‐06‐2015","Tratamiento de Diabetes Mellitus"
"700","METFORMINA CLORHIDRATO","GLIFORTEX COMPRIMIDOS RECUBIERTOS 850 mg","F‐7151","LABORATORIOS ANDRÓMACO S.A.","RESOLUCIÓN N° 2104","24‐06‐2015","Tratamiento de Diabetes Mellitus"
"701","LEVETIRACETAM","KREDIT 1000 COMPRIMIDOS RECUBIERTOS 1000 mg","F‐21958","PHARMA INVESTI DE CHILE S.A.","RESOLUCIÓN RW N° 10766","25‐06‐2015","Antiepiléptico ‐ Estabilizador del estado de ánimo"
"702","CAPECITABINA","CAPECITABINA COMPRIMIDOS RECUBIERTOS 150 mg","F‐21953","LABORATORIO CHILE S.A.","RESOLUCIÓN RW N° 11508","08‐07‐2015","Cáncer del tracto gastrointestinal y de mama"
"703","CAPECITABINA","CAPECITABINA COMPRIMIDOS RECUBIERTOS 500 mg","F‐21961","LABORATORIO CHILE S.A.","RESOLUCIÓN RW N° 11507","08‐07‐2015","Cáncer del tracto gastrointestinal y de mama"
"704","ZOLPIDEM","DAMIXAN COMPRIMIDOS RECUBIERTOS 10 mg","F‐21962","MEDIPHARM LTDA.","RESOLUCIÓN RW N° 10792","25‐06‐2015","Inductor del sueño / Sedante"
"705","IBUPROFENO","IBUPIRAC LC CÁPSULAS BLANDAS 200 mg","F‐21967","CHEMOPHARMA S.A.","RESOLUCIÓN RW N° 11116","01‐07‐2015","Analgésico / Antiinflamatorio"
"706","SILDENAFIL","DISILDEN  COMPRIMIDOS RECUBIERTOS 50 mg","F‐17847","INTERPHARMA S.A.","RESOLUCIÓN RW N° 11305","03‐07‐2015","Tratamiento de la Disfunción Eréctil"
"707","PARACETAMOL","GESIDOL COMPRIMIDOS 500 mg","F‐19506","MEDIPHARM LTDA.","RESOLUCIÓN N° 2213","06‐07‐2015","Analgésico / Antipirético"
"708","TAMOXIFENO","TAXUS COMPRIMIDOS 20 mg","F‐10367","TECNOFARMA S.A.","RESOLUCIÓN N° 2214","06‐07‐2015","Cáncer de mama"
"709","SERTRALINA","SERTRALINA COMPRIMIDOS RECUBIERTOS 50 mg","F‐12420","MINTLAB Co. S.A.","RESOLUCIÓN N° 2215","06‐07‐2015","Antidepresivo"
"710","SERTRALINA","LOWFIN COMPRIMIDOS RECUBIERTOS 50 mg","F‐12421","MINTLAB Co. S.A.","RESOLUCIÓN N° 2216","06‐07‐2015","Antidepresivo"
"711","IBUPROFENO","PYRIPED FORTE COMPRIMIDOS RECUBIERTOS 600 mg","F‐10176","MINTLAB Co. S.A.","RESOLUCIÓN N° 2217","06‐07‐2015","Analgésico / Antiinflamatorio"
"712","IBUPROFENO","IBUPROFENO COMPRIMIDOS RECUBIERTOS 600 mg","F‐20506","MINTLAB Co. S.A.","RESOLUCIÓN N° 2218","06‐07‐2015","Analgésico / Antiinflamatorio"
"713","AZITROMICINA","AZITROM COMPRIMIDOS RECUBIERTOS 500 mg","F‐8337","LABORATORIO CHILE S.A.","RESOLUCIÓN RW N° 11354","06‐07‐2015","Antibiótico"
"714","PARACETAMOL","KITADOL COMPRIMIDOS 500 mg","F‐494","LABORATORIO CHILE S.A.","RESOLUCIÓN RW N° 11425","07‐07‐2015","Analgésico / Antipirético"
"715","AZITROMICINA","AZITROMICINA COMPRIMIDOS RECUBIERTOS 500 mg","F‐4270","LABORATORIO CHILE S.A.","RESOLUCIÓN RW N° 11427","07‐07‐2015","Antibiótico"
"716","OLANZAPINA","OLANVITAE COMPRIMIDOS RECUBIERTOS 5 mg","F‐21980","GALENICUM HEALTH CHILE S.p.A.","RESOLUCIÓN RW N° 11596","09‐07‐2015","Tratamiento de esquizofrenia"
"717","RIBAVIRINA","MODERIBA COMPRIMIDOS RECUBIERTOS 200 mg","F‐21978","ABBVIE PRODUCTOS FARMACÉUTICOS LTDA.","RESOLUCIÓN RW N° 11603","09‐07‐2015","Tratamiento de Hepatitis C"
"718","QUETIAPINA","QURAX 25 COMPRIMIDOS RECUBIERTOS 25 mg","F‐21979","PHARMA INVESTI DE CHILE S.A.","RESOLUCIÓN RW N° 11665","10‐07‐2015","Trastornos mentales"
"719","PARACETAMOL","PARACETAMOL COMPRIMIDOS 500 mg","F‐8660","LABORATORIOS ANDRÓMACO S.A.","RESOLUCIÓN N° 2333","14‐07‐2015","Analgésico / Antipirético"
"720","METILFENIDATO","ELEM COMPRIMIDOS 10 mg","F‐7543","LABORATORIOS ANDRÓMACO S.A.","RESOLUCIÓN N° 2334","14‐07‐2015","Estimulante sistema nervioso central"
"721","LEVOCETIRIZINA","DEGRALER COMPRIMIDOS RECUBIERTOS 5 mg","F‐14173","LABORATORIO BAGÓ DE CHILE S.A.","RESOLUCIÓN RW N° 11774","14‐07‐2015","Antialérgico"
"722","NARATRIPTAN","BAGOMIGRAL COMPRIMIDOS RECUBIERTOS 2,5 mg","F‐17375","LABORATORIO BAGÓ DE CHILE S.A.","RESOLUCIÓN RW N° 11775","14‐07‐2015","Antijaquecoso"
"723","OLANZAPINA","OLANVITAE COMPRIMIDOS RECUBIERTOS 10 mg","F‐21985","GALENICUM HEALTH CHILE S.p.A.","RESOLUCIÓN RW N° 11816","14‐07‐2015","Tratamiento de esquizofrenia"
"724","LOSARTÁN","LOSARTÁN POTÁSICO COMPRIMIDOS RECUBIERTOS 50 mg","F‐22000","ASCEND LABORATORIES S.p.A.","RESOLUCIÓN RW N° 11894","15‐07‐2015","Hipertensión arterial"
"725","OLANZAPINA","AMULSIN COMPRIMIDOS RECUBIERTOS 5 mg","F‐11923","INSTITUTO SANITAS S.A.","RESOLUCIÓN N° 2419","21‐07‐2015","Tratamiento de esquizofrenia"
"726","FINASTERIDA","VASTUS COMPRIMIDOS RECUBIERTOS 5 mg","F‐18932","TECNOFARMA S.A.","RESOLUCIÓN N° 2420","21‐07‐2015","Hiperplasia Prostática Benigna (HPB)"
"727","CEFADROXILO","CEFADROXILO CÁPSULAS 500 mg","F‐6874","MINTLAB Co. S.A.","RESOLUCIÓN N° 2421","21‐07‐2015","Antibiótico"
"728","PRAMIPEXOL","PRAMIPEXOL DICLORHIDRATO MONOHIDRATO COMPRIMIDOS  0,25 mg","F‐22013","MEDINOVA FARMA LTDA.","RESOLUCIÓN RW N° 12196","22‐07‐2015","Tratamiento de Parkinson"
"729","ONDANSETRON","LEVROX COMPRIMIDOS RECUBIERTOS 8 mg","F‐22014","SYNTHON CHILE LTDA.","RESOLUCIÓN RW N° 12325","23‐07‐2015","Antiemético"
"730","LEVETIRACETAM","KREDIT COMPRIMIDOS RECUBIERTOS 500 mg","F‐21971","PHARMA INVESTI DE CHILE S.A.","RESOLUCIÓN RW N° 12356","23‐07‐2015","Antiepiléptico ‐ Estabilizador del estado de ánimo"
"731","VALSARTÁN","VALSARTÁN COMPRIMIDOS RECUBIERTOS 320 mg","F‐22027","EUROMED CHILE S.A.","RESOLUCIÓN RW N° 12664","27‐07‐2015","Hipertensión arterial"
"732","LEVOFLOXACINO","AUXXIL COMPRIMIDOS RECUBIERTOS 500 mg","F‐6249","LABORATORIO CHILE S.A.","RESOLUCIÓN RW N° 12841","29‐07‐2015","Antibiótico"
"733","LEVOFLOXACINO","LEVOFLOXACINO COMPRIMIDOS RECUBIERTOS 500 mg","F‐15283","LABORATORIO CHILE S.A.","RESOLUCIÓN RW N° 12842","29‐07‐2015","Antibiótico"
"734","FLUCONAZOL","FLUCONAZOL CÁPSULAS 150 mg","F‐4322","INTERPHARMA S.A.","RESOLUCIÓN RW N° 12965","30‐07‐2015","Antifúngico"
"735","CICLOBENZAPRINA","NOSTADEN COMPRIMIDOS RECUBIERTOS 5 mg.","F‐17911","MINTLAB Co. S.A.","RESOLUCIÓN N° 2622","31‐07‐2015","Relajante muscular"
"736","LEVOFLOXACINO","AUXXIL COMPRIMIDOS RECUBIERTOS 750 mg","F‐14915","LABORATORIO CHILE S.A.","RESOLUCIÓN RW N° 13255","04‐08‐2015","Antibiótico"
"737","ATORVASTATINA","ATORVASTATINA COMPRIMIDOS RECUBIERTOS 20 mg","F‐22049","SYNTHON CHILE LTDA.","RESOLUCIÓN RW N° 13340","05‐08‐2015","Disminución del colesterol"
"738","DOXICICLINA","DOXICICLINA COMPRIMIDOS 100 mg","F‐8392","LABORATORIO CHILE S.A.","RESOLUCIÓN RW N° 13584","07‐08‐2015","Antibiótico"
"739","FLUOXETINA","FLUOXETINA COMPRIMIDOS 20 mg","F‐8411","LABORATORIO CHILE S.A.","RESOLUCIÓN RW N° 13587","07‐08‐2015","Antidepresivo"
"740","FLUOXETINA","SOSTAC COMPRIMIDOS 20 mg","F‐8497","LABORATORIO CHILE S.A.","RESOLUCIÓN RW N° 13588","07‐08‐2015","Antidepresivo"
"741","FINASTERIDA","LAMBDAXEL COMPRIMIDOS RECUBIERTOS 1 mg","F‐22059","ISDIN CHILE LTDA.","RESOLUCIÓN RW N° 13898","12‐08‐2015","Hiperplasia Prostática Benigna (HPB)"
"742","AZITROMICINA","TREX COMPRIMIDOS RECUBIERTOS 500 mg","F‐9808","LABORATORIOS SAVAL S.A.","RESOLUCIÓN N° 2753","14‐08‐2015","Antibiótico"
"743","SILDENAFIL","ZILFIC COMPRIMIDOS RECUBIERTOS 50 mg","F‐13716","MINTLAB Co. S.A.","RESOLUCIÓN N° 2768","14‐08‐2015","Tratamiento de la Disfunción Eréctil"
"744","SILDENAFIL","SILDENAFILO COMPRIMIDOS RECUBIERTOS 50 mg","F‐13715","MINTLAB Co. S.A.","RESOLUCIÓN N° 2769","14‐08‐2015","Tratamiento de la Disfunción Eréctil"
"745","LEVETIRACETAM","CEUMID COMPRIMIDOS RECUBIERTOS 500 mg","F‐14832","PHARMA INVESTI DE CHILE S.A.","RESOLUCIÓN N° 2806","18‐08‐2015","Antiepiléptico ‐ Estabilizador del estado de ánimo"
"746","LEVONORGESTREL","ANULIT COMPRIMIDOS RECUBIERTOS 0,03 mg","F‐12693","LABORATORIOS SILESIA S.A.","RESOLUCIÓN N° 2807","18‐08‐2015","Anticonceptivo"
"747","GABAPENTINA","GABEX COMPRIMIDOS RECUBIERTOS 600 mg","F‐14163","LABORATORIOS ANDRÓMACO S.A.","RESOLUCIÓN N° 2808","18‐08‐2015","Antiepiléptico ‐ Dolores neurálgicos"
"748","FEXOFENADINA","ALEXIA COMPRIMIDOS RECUBIERTOS 120 mg","F‐2106","LABORATORIOS SAVAL S.A.","RESOLUCIÓN N° 2809","18‐08‐2015","Antialérgico"
"749","PARACETAMOL","PARACETAMOL COMPRIMIDOS 500 mg","F‐22074","LABORATORIO MAVER S.A.","RESOLUCIÓN RW N° 14358","19‐08‐2015","Analgésico / Antipirético"
"750","PARACETAMOL","TAPSIN PURO SIN CAFEÍNA COMPRIMIDOS 500 mg","F‐22075","LABORATORIO MAVER S.A.","RESOLUCIÓN RW N° 14359","19‐08‐2015","Analgésico / Antipirético"
"751","ESPIRONOLACTONA","ESPIRONOLACTONA COMPRIMIDOS 25 mg","F‐6546","LABORATORIOS ANDRÓMACO S.A.","RESOLUCIÓN RW N° 14381","20‐08‐2015","Diurético"
"752","ETINILESTRADIOL / DROSPIRENONA","LADEE 20 COMPRIMIDOS RECUBIERTOS","F‐21659","EXELTIS CHILE S.P.A.","RESOLUCIÓN RW N° 14382","20‐08‐2015","Anticonceptivo"
"753","ETINILESTRADIOL / DROSPIRENONA","LADEE COMPRIMIDOS RECUBIERTOS","F‐21650","EXELTIS CHILE S.P.A.","RESOLUCIÓN RW N° 14514","21‐08‐2015","Anticonceptivo"
"754","AZITROMICINA","AZITROMICINA COMPRIMIDOS RECUBIERTOS 500 mg","F‐22082","BLUEPHARMA CHILE S.P.A.","RESOLUCIÓN RW N° 14522","21‐08‐2015","Antibiótico"
"755","CETIRIZINA","ALERTOP COMPRIMIDOS RECUBIERTOS 10 mg","F‐7193","LABORATORIO CHILE S.A.","RESOLUCIÓN RW N° 14524","21‐08‐2015","Antialérgico"
"756","CETIRIZINA","CETIRIZINA DICLORHIDRATO COMPRIMIDOS RECUBIERTOS
10 mg","F‐13749","LABORATORIO CHILE S.A.","RESOLUCIÓN RW N° 14525","21‐08‐2015","Antialérgico"
"757","LORATADINA","LORATADINA COMPRIMIDOS 10 mg","F‐8455","LABORATORIO CHILE S.A.","RESOLUCIÓN RW N° 14532","21‐08‐2015","Antialérgico"
